Date,Output NSW,Output VIC,Output QLD,Output SA,Output WA,Output TAS,Output NT
2015-04,12543,39218,121442,12999,40335,4356,2345
2015-05,10758,31858,115618,10864,38516,3175,2096
2015-06,9264,26488,89448,9275,30891,2757,2044
2015-07,11403,29176,110930,10210,30077,2902,2258
2015-08,14529,35692,132533,12246,40204,4173,2564
2015-09,15466,53829,147254,17846,55413,5321,2957
2015-10,35134,75748,169578,34523,61801,7767,3171
2015-11,111679,100442,184324,81485,71542,11524,3073
2015-12,127291,121743,188880,92336,76913,13597,2880
2016-01,114367,104099,186002,87718,67742,11608,3298
2016-02,123342,107167,182526,82272,72559,11505,3463
2016-03,110207,89560,170443,69878,65550,10030,3347
2016-04,87478,74308,152407,57296,45162,7873,3389
2016-05,80008,57562,144470,40043,42869,5527,2929
2016-06,57418,42979,104870,34585,37444,4393,2856
2016-07,71424,49514,128545,36137,41810,5597,3420
2016-08,91200,72776,160236,54899,49797,7658,4104
2016-09,104434,81299,167339,57761,63689,8873,4186
2016-10,139997,113646,217847,85440,79779,12237,5283
2016-11,150923,114671,198121,89733,88644,12809,5633
2016-12,138053,126535,189494,89245,90553,13828,4884
2017-01,137971,128378,186126,92021,89634,14201,5460
2017-02,121631,109469,175057,77154,82420,11899,5567
2017-03,100329,106363,146327,72629,77508,11209,5482
2017-04,109088,78887,154906,55770,68834,9034,5017
2017-05,90520,68958,143383,48893,55726,6656,4883
2017-06,71432,55589,139325,44930,51658,5831,4370
2017-07,98628,69504,174531,45985,47222,6764,4975
2017-08,125852,85414,211469,55608,64047,9187,6176
2017-09,151363,104011,237585,78875,80957,10950,6265
2017-10,154731,132966,204578,95010,100023,14111,6970
2017-11,169095,146038,238418,96344,114057,16287,6769
2017-12,170386,150694,268680,107374,121826,15957,7341
2018-01,182064,160229,278875,111062,123061,16858,7846
2018-02,156532,139633,213892,95193,105324,13600,7220
2018-03,154817,141956,219235,98167,103146,13264,8042
2018-04,137633,106101,212300,80128,85152,10650,7106
2018-05,122047,75844,200739,51966,74469,7810,6580
2018-06,91463,68667,169793,48443,55503,6500,6030
2018-07,131022,85470,199368,59001,62262,7703,7388
2018-08,154442,108962,251930,72806,80331,9759,8627
2018-09,178636,144033,254125,101813,106688,13383,8998
2018-10,182518,167881,260092,107219,116649,15482,8956
2018-11,213431,169618,312667,124029,142991,14638,9451
2018-12,286178,223639,336262,153199,187076,18307,10869
2019-01,280707,257124,364069,169277,196515,24184,9782
2019-02,253495,217550,306749,149850,169495,18274,10432
2019-03,228487,199802,298034,133988,159164,16766,11147
2019-04,214504,154818,274164,105870,133166,13619,9841
2019-05,188278,111999,251287,77175,117456,8775,10147
2019-06,148489,99841,227283,72216,82678,7100,10571
2019-07,191558,107737,272533,76251,103052,8183,11330
2019-08,240887,147892,323086,99933,135597,11676,12861
2019-09,279352,199392,383847,138686,164961,16058,13623
2019-10,340993,261938,406360,178353,195374,20365,14498
2019-11,367435,274135,446248,194106,225557,21708,14912
2019-12,371755,332435,458832,220922,236214,26631,14467
2020-01,336636,300860,421767,210168,242493,23226,13627
2020-02,293125,258322,344088,188659,188571,20758,14611
2020-03,297052,253070,379387,173839,189047,17536,16557
2020-04,262663,176552,363800,126467,152810,12453,15436
2020-05,238347,159593,310879,107931,131629,10052,15565
2020-06,208462,135404,286129,93325,107521,7582,15661
2020-07,227672,141871,322432,112048,132272,10208,17129
2020-08,321013,199558,412577,131242,156734,13149,18105
2020-09,371244,264123,434113,167447,188409,16870,18889
2020-10,413069,287688,496635,192294,257109,21508,20127
2020-11,490930,364373,560133,250801,247658,26366,20481
2020-12,444863,407314,490710,276453,309044,26741,19350
2021-01,498148,406898,506146,279446,303216,28439,22617
2021-02,414032,351496,445078,230160,248138,24160,19197
2021-03,394671,309643,432267,231899,238003,21773,24305
2021-04,421657,248763,410941,181368,195730,17105,23987
2021-05,328971,198025,409411,128394,151822,12021,24490
2021-06,262133,144891,349508,101552,141331,7558,20722
2021-07,315969,170499,399680,114461,130037,9904,22539
2021-08,420750,251720,484126,172849,189717,13357,26109
2021-09,510409,331255,550576,211992,246150,20620,28947
2021-10,593778,411640,613164,267606,282537,23697,29604
2021-11,473311,426898,525704,269534,324732,29674,29283
2021-12,622670,530627,641814,354824,360232,35957,27488
2022-01,591688,511533,594649,298761,368901,28987,27544
2022-02,499257,450208,511762,269186,314305,27024,26421
2022-03,444043,392831,556011,275191,273484,23437,32787
2022-04,407119,262963,480539,183444,238973,16353,30542
2022-05,347009,212750,324827,155106,200639,12417,28986
2022-06,357352,164291,437046,112310,160264,9794,24308
2022-07,337620,222376,423808,132284,172141,12213,28976
2022-08,443532,261742,531015,168224,220514,15859,30675
2022-09,517108,331633,554695,204309,270724,21361,31582
2022-10,559931,412847,590143,249826,338399,26821,33701
2022-11,789884,474159,721259,294914,363579,34436,31770
2022-12,813834,606895,728508,381060,407519,39273,31639
2023-01,744342,592329,713926,377959,423646,39575,29351
2023-02,711377,499086,643196,323898,359282,31782,26734
2023-03,641945,434070,650650,277753,336689,28488,33127
2023-04,516494,325505,594571,220628,255189,20311,29558
2023-05,511638,249204,586467,153300,213611,15223,32065
2023-06,407104,195080,492435,120602,177160,11328,27011
2023-07,484530,240282,496950,156782,196761,12912,28298
2023-08,591943,315060,643373,214216,262210,19970,33316
2023-09,783938,476914,736503,313522,293806,28851,35038
2023-10,913121,527295,865521,365192,399339,37505,35355
2023-11,767526,554098,716343,365867,399935,42506,32357
2023-12,917450,596118,862941,346713,464151,47873,35938
2024-01,827317,642611,730567,406720,464199,47258,27656
2024-02,759153,645421,725456,387701,392972,45409,31793
2024-03,781219,582224,649674,345422,384477,37647,29254
2024-04,648689,363757,640867,250300,321095,25997,34468
2024-05,512532,332060,561688,216310,236244,18845,32794
2024-06,447498,233826,576904,132088,202254,14301,29864
2024-07,537090,252495,608713,185671,220268,16625,30164
